Serial No,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,AdminChance
76,329,114,2,2,4,856,1,072
77,327,112,3,3,3,872,1,074
78,301,99,2,3,2,822,0,064
79,296,95,2,3,2,754,1,044
80,294,93,1,15,2,736,0,046
81,312,105,3,2,3,802,1,05
82,340,120,4,5,5,95,1,096
83,320,110,5,5,45,922,1,092
84,322,115,5,4,45,936,1,092
85,340,115,5,45,45,945,1,094
86,319,103,4,45,35,866,0,076
87,315,106,3,45,35,842,0,072
88,317,107,2,35,3,828,0,066
89,314,108,3,45,35,814,0,064
90,316,109,4,45,35,876,1,074
91,318,106,2,4,4,792,1,064
92,299,97,3,5,35,766,0,038
93,298,98,2,4,3,803,0,034
94,301,97,2,3,3,788,1,044
95,303,99,3,2,25,766,0,036
96,304,100,4,15,25,784,0,042
97,306,100,2,3,3,8,0,048
98,331,120,3,4,4,896,1,086
99,332,119,4,5,45,924,1,09
100,323,113,3,4,4,888,1,079
101,322,107,3,35,35,846,1,071
102,312,105,2,25,3,812,0,064
103,314,106,2,4,35,825,0,062
104,317,104,2,45,4,847,0,057
105,326,112,3,35,3,905,1,074
106,316,110,3,4,45,878,1,069
107,329,111,4,45,45,918,1,087
108,338,117,4,35,45,946,1,091
109,331,116,5,5,5,938,1,093
110,304,103,5,5,4,864,0,068
111,305,108,5,3,3,848,0,061
112,321,109,4,4,4,868,1,069
113,301,107,3,35,35,834,1,062
114,320,110,2,4,35,856,0,072
115,311,105,3,35,3,845,1,059
116,310,106,4,45,45,904,1,066
117,299,102,3,4,35,862,0,056
118,290,104,4,2,25,746,0,045
119,296,99,2,3,35,728,0,047
120,327,104,5,3,35,884,1,071
121,335,117,5,5,5,956,1,094
122,334,119,5,45,45,948,1,094
123,310,106,4,15,25,836,0,057
124,308,108,3,35,35,822,0,061
125,301,106,4,25,3,847,0,057
126,300,100,3,2,3,866,1,064
127,323,113,3,4,3,932,1,085
128,319,112,3,25,2,871,1,078
129,326,112,3,35,3,91,1,084
130,333,118,5,5,5,935,1,092
131,339,114,5,4,45,976,1,096
132,303,105,5,5,45,865,0,077
133,309,105,5,35,35,856,0,071
134,323,112,5,4,45,878,0,079
135,333,113,5,4,4,928,1,089
136,314,109,4,35,4,877,1,082
137,312,103,3,5,4,845,0,076
138,316,100,2,15,3,816,1,071
139,326,116,2,45,3,908,1,08
140,318,109,1,35,35,912,0,078
141,329,110,2,4,3,915,1,084
142,332,118,2,45,35,936,1,09
143,331,115,5,4,35,944,1,092
144,340,120,4,45,4,992,1,097
145,325,112,2,3,35,896,1,08
146,320,113,2,2,25,864,1,081
147,315,105,3,2,25,848,0,075
148,326,114,3,3,3,911,1,083
149,339,116,4,4,35,98,1,096
150,311,106,2,35,3,826,1,079
151,334,114,4,4,4,943,1,093
152,332,116,5,5,5,928,1,094
153,321,112,5,5,5,906,1,086
154,324,105,3,3,4,875,0,079
155,326,108,3,3,35,889,0,08
156,312,109,3,3,3,869,0,077
157,315,105,3,2,25,834,0,07
158,309,104,2,2,25,826,0,065
159,306,106,2,2,25,814,0,061
160,297,100,1,15,2,79,0,052
161,315,103,1,15,2,786,0,057
162,298,99,1,15,3,746,0,053
163,318,109,3,3,3,85,0,067
164,317,105,3,35,3,856,0,068
165,329,111,4,45,4,901,1,081
166,322,110,5,45,4,897,0,078
167,302,102,3,35,5,833,0,065
168,313,102,3,2,3,827,0,064
169,293,97,2,2,4,78,1,064
170,311,99,2,25,3,798,0,065
171,312,101,2,25,35,804,1,068
172,334,117,5,4,45,907,1,089
173,322,110,4,4,5,913,1,086
174,323,113,4,4,45,923,1,089
175,321,111,4,4,4,897,1,087
176,320,111,4,45,35,887,1,085
177,329,119,4,45,45,916,1,09
178,319,110,3,35,35,904,0,082
179,309,108,3,25,3,812,0,072
180,307,102,3,3,3,827,0,073
181,300,104,3,35,3,816,0,071
182,305,107,2,25,25,842,0,071
183,299,100,2,3,35,788,0,068
184,314,110,3,4,4,88,0,075
185,316,106,2,25,4,832,0,072
186,327,113,4,45,45,911,1,089
187,317,107,3,35,3,868,1,084
188,335,118,5,45,35,944,1,093
189,331,115,5,45,35,936,1,093
190,324,112,5,5,5,908,1,088
191,324,111,5,45,4,916,1,09
192,323,110,5,4,5,898,1,087
193,322,114,5,45,4,894,1,086
194,336,118,5,45,5,953,1,094
195,316,109,3,35,3,876,0,077
196,307,107,2,3,35,852,1,078
197,306,105,2,3,25,826,0,073
198,310,106,2,35,25,833,0,073
199,311,104,3,45,45,843,0,07
200,313,107,3,4,45,869,0,072
201,317,103,3,25,3,854,1,073
202,315,110,2,35,3,846,1,072
203,340,120,5,45,45,991,1,097
204,334,120,5,4,5,987,1,097
205,298,105,3,35,4,854,0,069
206,295,99,2,25,3,765,0,057
207,315,99,2,35,3,789,0,063
208,310,102,3,35,4,802,1,066
209,305,106,2,3,3,816,0,064
210,301,104,3,35,4,812,1,068
211,325,108,4,45,4,906,1,079
212,328,110,4,5,4,914,1,082
213,338,120,4,5,5,966,1,095
214,333,119,5,5,45,978,1,096
215,331,117,4,45,5,942,1,094
216,330,116,5,5,45,936,1,093
217,322,112,4,45,45,926,1,091
218,321,109,4,4,4,913,1,085
219,324,110,4,3,35,897,1,084
220,312,104,3,35,35,842,0,074
221,313,103,3,4,4,875,0,076
222,316,110,3,35,4,856,0,075
223,324,113,4,45,4,879,0,076
224,308,109,2,3,4,845,0,071
225,305,105,2,3,2,823,0,067
226,296,99,2,25,25,803,0,061
227,306,110,2,35,4,845,0,063
228,312,110,2,35,3,853,0,064
229,318,112,3,4,35,867,0,071
230,324,111,4,3,3,901,1,082
231,313,104,3,4,45,865,0,073
232,319,106,3,35,25,833,1,074
233,312,107,2,25,35,827,0,069
234,304,100,2,25,35,807,0,064
235,330,113,5,5,4,931,1,091
236,326,111,5,45,4,923,1,088
237,325,112,4,4,45,917,1,085
238,329,114,5,45,5,919,1,086
239,310,104,3,2,35,837,0,07
240,299,100,1,15,2,789,0,059
241,296,101,1,25,3,768,0,06
242,317,103,2,25,2,815,0,065
243,324,115,3,35,3,876,1,07
244,325,114,3,35,3,904,1,076
245,314,107,2,25,4,856,0,063
246,328,110,4,4,25,902,1,081
247,316,105,3,3,35,873,0,072
248,311,104,2,25,35,848,0,071
249,324,110,3,35,4,887,1,08
250,321,111,3,35,4,883,1,077
251,320,104,3,3,25,857,1,074
252,316,99,2,25,3,9,0,07
253,318,100,2,25,35,854,1,071
254,335,115,4,45,45,968,1,093
255,321,114,4,4,5,912,0,085
256,307,110,4,4,45,837,0,079
257,309,99,3,4,4,856,0,076
258,324,100,3,4,5,864,1,078
259,326,102,4,5,5,876,1,077
260,331,119,4,5,45,934,1,09
261,327,108,5,5,35,913,1,087
262,312,104,3,35,4,809,0,071
263,308,103,2,25,4,836,1,07
264,324,111,3,25,15,879,1,07
265,325,110,2,3,25,876,1,075
266,313,102,3,25,25,868,0,071
267,312,105,2,2,25,845,0,072
268,314,107,3,3,35,817,1,073
269,327,113,4,45,5,914,0,083
270,308,108,4,45,5,834,0,077
271,306,105,2,25,3,822,1,072
272,299,96,2,15,2,786,0,054
273,294,95,1,15,15,764,0,049
274,312,99,1,1,15,801,1,052
275,315,100,1,2,25,795,0,058
276,322,110,3,35,3,896,1,078
277,329,113,5,5,45,945,1,089
278,320,101,2,25,3,862,0,07
279,308,103,2,3,35,849,0,066
280,304,102,2,3,4,873,0,067
281,311,102,3,45,4,864,1,068
282,317,110,3,4,45,911,1,08
283,312,106,3,4,35,879,1,081
284,321,111,3,25,3,89,1,08
285,340,112,4,5,45,966,1,094
286,331,116,5,4,4,926,1,093
287,336,118,5,45,4,919,1,092
288,324,114,5,5,45,908,1,089
289,314,104,4,5,5,902,0,082
290,313,109,3,4,35,9,0,079
291,307,105,2,25,3,765,0,058
292,300,102,2,15,2,787,0,056
293,302,99,2,1,2,797,0,056
294,312,98,1,35,3,818,1,064
295,316,101,2,25,2,832,1,061
296,317,100,2,3,25,857,0,068
297,310,107,3,35,35,867,0,076
298,320,120,3,4,45,911,0,086
299,330,114,3,45,45,924,1,09
300,305,112,3,3,35,865,0,071
301,309,106,2,25,25,8,0,062
302,319,108,2,25,3,876,0,066
303,322,105,2,3,3,845,1,065
304,323,107,3,35,35,855,1,073
305,313,106,2,25,2,843,0,062
306,321,109,3,35,35,88,1,074
307,323,110,3,4,35,91,1,079
308,325,112,4,4,4,9,1,08
309,312,108,3,35,3,853,0,069
310,308,110,4,35,3,86,0,07
311,320,104,3,3,35,874,1,076
312,328,108,4,45,4,918,1,084
313,311,107,4,45,45,9,1,078
314,301,100,3,35,3,804,0,067
315,305,105,2,3,4,813,0,066
316,308,104,2,25,3,807,0,065
317,298,101,2,15,2,786,0,054
318,300,99,1,1,25,801,0,058
319,324,111,3,25,2,88,1,079
320,327,113,4,35,3,869,1,08
321,317,106,3,4,35,85,1,075
322,323,104,3,4,4,844,1,073
323,314,107,2,25,4,827,0,072
324,305,102,2,2,25,818,0,062
325,315,104,3,3,25,833,0,067
326,326,116,3,35,4,914,1,081
327,299,100,3,2,2,802,0,063
328,295,101,2,25,2,786,0,069
329,324,112,4,4,35,877,1,08
330,297,96,2,25,15,789,0,043
331,327,113,3,35,3,866,1,08
332,311,105,2,3,2,812,1,073
333,308,106,3,35,25,821,1,075
334,319,108,3,3,35,854,1,071
335,312,107,4,45,4,865,1,073
336,325,111,4,4,45,911,1,083
337,319,110,3,3,25,879,0,072
338,332,118,5,5,5,947,1,094
339,323,108,5,4,4,874,1,081
340,324,107,5,35,4,866,1,081
341,312,107,3,3,3,846,1,075
342,326,110,3,35,35,876,1,079
343,308,106,3,3,3,824,0,058
344,305,103,2,25,35,813,0,059
345,295,96,2,15,2,734,0,047
346,316,98,1,15,2,743,0,049
347,304,97,2,15,2,764,0,047
348,299,94,1,1,1,734,0,042
349,302,99,1,2,2,725,0,057
350,313,101,3,25,3,804,0,062
351,318,107,3,3,35,827,1,074
352,325,110,4,35,4,867,1,073
353,303,100,2,3,35,806,1,064
354,300,102,3,35,25,817,0,063
355,297,98,2,25,3,767,0,059
356,317,106,2,2,35,812,0,073
357,327,109,3,35,4,877,1,079
358,301,104,2,35,35,789,1,068
359,314,105,2,25,2,764,0,07
360,321,107,2,2,15,844,0,081
361,322,110,3,4,5,864,1,085
362,334,116,4,4,35,954,1,093
363,338,115,5,45,5,923,1,091
364,306,103,2,25,3,836,0,069
365,313,102,3,35,4,89,1,077
366,330,114,4,45,3,917,1,086
367,320,104,3,35,45,834,1,074
368,311,98,1,1,25,746,0,057
369,298,92,1,2,2,788,0,051
370,301,98,1,2,3,803,1,067
371,310,103,2,25,25,824,0,072
372,324,110,3,35,3,922,1,089
373,336,119,4,45,4,962,1,095
374,321,109,3,3,3,854,1,079
375,315,105,2,2,25,765,0,039
376,304,101,2,2,25,766,0,038
377,297,96,2,25,2,743,0,034
378,290,100,1,15,2,756,0,047
379,303,98,1,2,25,765,0,056
380,311,99,1,25,3,843,1,071
381,322,104,3,35,4,884,1,078
382,319,105,3,3,35,867,1,073
383,324,110,4,45,4,915,1,082
384,300,100,3,3,35,826,0,062
385,340,113,4,5,5,974,1,096
386,335,117,5,5,5,982,1,096
387,302,101,2,25,35,796,0,046
388,307,105,2,2,35,81,0,053
389,296,97,2,15,2,78,0,049
390,320,108,3,35,4,844,1,076
391,314,102,2,2,25,824,0,064
392,318,106,3,2,3,865,0,071
393,326,112,4,4,35,912,1,084
394,317,104,2,3,3,876,0,077
395,329,111,4,45,4,923,1,089
396,324,110,3,35,35,904,1,082
397,325,107,3,3,35,911,1,084
398,330,116,4,5,45,945,1,091
399,312,103,3,35,4,878,0,067
400,333,117,4,5,4,966,1,095
401,304,100,2,35,3,822,0,063
402,315,105,2,3,3,834,0,066
403,324,109,3,35,3,894,1,078
404,330,116,4,4,35,923,1,091
405,311,101,3,2,25,764,1,062
406,302,99,3,25,3,745,0,052
407,322,103,4,3,25,802,1,061
408,298,100,3,25,4,795,1,058
409,297,101,3,2,4,767,1,057
410,300,98,1,2,25,802,0,061
411,301,96,1,3,4,756,0,054
412,313,94,2,25,15,813,0,056
413,314,102,4,25,2,788,1,059
414,317,101,3,3,2,794,1,049
415,321,110,4,35,4,835,1,072
416,327,106,4,4,45,875,1,076
417,315,104,3,4,25,81,0,065
418,316,103,3,35,2,768,0,052
419,309,111,2,25,4,803,0,06
420,308,102,2,2,35,798,1,058
421,299,100,3,2,3,742,0,042
422,321,112,3,3,45,895,1,077
423,322,112,4,35,25,902,1,073
424,334,119,5,45,5,954,1,094
425,325,114,5,4,5,946,1,091
426,323,111,5,4,5,986,1,092
427,312,106,3,3,5,857,0,071
428,310,101,3,35,5,865,1,071
429,316,103,2,2,45,874,0,069
430,340,115,5,5,45,906,1,095
431,311,104,3,4,35,813,1,074
432,320,112,2,35,35,878,1,073
433,324,112,4,45,4,922,1,086
434,316,111,4,4,5,854,0,071
435,306,103,3,35,3,821,0,064
436,309,105,2,25,4,768,0,055
437,310,110,1,15,4,723,1,058
438,317,106,1,15,35,765,1,061
439,318,110,1,25,35,854,1,067
440,312,105,2,15,3,846,0,066
441,305,104,2,25,15,779,0,053
442,332,112,1,15,3,866,1,079
443,331,116,4,45,45,944,1,092
444,321,114,5,45,45,916,1,087
445,324,113,5,4,5,925,1,092
446,328,116,5,45,5,908,1,091
447,327,118,4,5,5,967,1,093
448,320,108,3,35,5,897,1,084
449,312,109,2,25,4,902,0,08
450,315,101,3,35,45,913,0,079
451,320,112,4,3,45,886,1,082
452,324,113,4,45,45,925,1,089
453,328,116,4,5,35,96,1,093
454,319,103,3,25,4,876,1,073
455,310,105,2,3,35,801,0,071
456,305,102,2,15,25,764,0,059
457,299,100,2,2,2,788,0,051
458,295,99,1,2,15,757,0,037
459,312,100,1,3,3,853,1,069
460,329,113,4,4,35,936,1,089
461,319,105,4,4,45,866,1,077
462,301,102,3,25,2,813,1,068
463,307,105,4,3,3,794,0,062
464,304,107,3,35,3,786,0,057
465,298,97,2,2,3,721,0,045
466,305,96,4,3,45,826,0,054
467,314,99,4,35,45,873,1,071
468,318,101,5,35,5,878,1,078
469,323,110,4,4,5,888,1,081
470,326,114,4,4,35,916,1,086
471,320,110,5,4,4,927,1,087
472,311,103,3,2,4,809,0,064
473,327,116,4,4,45,948,1,09
474,316,102,2,4,35,815,0,067
475,308,105,4,3,25,795,1,067
476,300,101,3,35,25,788,0,059
477,304,104,3,25,2,812,0,062
478,309,105,4,35,2,818,0,065
479,318,103,3,4,45,849,1,071
480,325,110,4,45,4,896,1,079
481,321,102,3,35,4,901,1,08
482,323,107,4,3,25,848,1,078
483,328,113,4,4,25,877,1,083
484,304,103,5,5,3,792,0,071
485,317,106,3,35,3,789,1,073
486,311,101,2,25,35,834,1,07
487,319,102,3,25,25,837,0,068
488,327,115,4,35,4,914,0,079
489,322,112,3,3,4,862,1,076
490,302,110,3,4,45,85,0,065
491,307,105,2,25,45,812,1,067
492,297,99,4,3,35,781,0,054
493,298,101,4,25,45,769,1,053
494,300,95,2,3,15,822,1,062
495,301,99,3,25,2,845,1,068
496,332,108,5,45,4,902,1,087
497,337,117,5,5,5,987,1,096
498,330,120,5,45,5,956,1,093
499,312,103,4,4,5,843,0,073
500,327,113,4,45,45,904,0,084
